,CustomerId,Cluster
0,499920078,0
1,499920499,0
2,499921473,2
3,499921557,1
4,499921908,2
5,499922150,3
6,499922756,0
7,499923595,3
8,499924161,3
9,499924210,0
10,499924545,2
11,499924791,0
12,499925423,3
13,499925720,2
14,499926418,2
15,499926963,1
16,499927111,1
17,499927819,0
18,499929134,2
19,499929899,0
20,499930068,3
21,499930743,0
22,499930861,1
23,499931398,2
24,499932420,0
25,499932932,3
26,499933387,0
27,499933687,2
28,499934338,2
29,499935022,0
30,499935778,0
31,499935992,3
32,499942539,0
33,499951908,0
34,499968921,0
35,499968994,1
36,499969114,0
37,499969210,1
38,499969305,2
39,499970307,2
40,499970469,2
41,499970618,1
42,499970948,0
43,499970988,1
44,499971181,0
45,499971606,2
46,499971619,0
47,499972290,1
48,499972368,1
49,499972499,3
50,499972924,0
51,499975550,0
52,499976043,3
53,499976982,3
54,499977070,0
55,499977249,3
56,499984361,0
57,499985054,0
58,499986177,0
59,499986279,1
60,499986296,0
61,499986629,3
62,499986692,0
63,499988075,3
64,499988259,3
65,499988730,0
66,499990455,3
67,499993598,3
68,499994620,0
69,500009331,2
70,500009415,0
71,500009586,3
72,500009707,3
73,500009805,3
74,500009827,0
75,500009841,3
76,500009869,1
77,500009889,2
78,500009906,1
79,500010058,0
80,500010092,2
81,500010169,0
82,500010825,2
83,500011066,0
84,500011765,3
85,500011767,0
86,500011807,3
87,500011914,0
88,500012012,0
89,500012050,3
90,500012266,3
91,500012630,3
92,500013121,3
93,500013225,2
94,500013252,3
95,500013419,0
96,500013654,3
97,500014059,2
98,500014233,3
99,500014934,2
100,500015361,0
101,500015620,0
102,500015631,3
103,500016045,0
104,500016206,0
105,500016535,2
106,500016840,0
107,500017061,0
108,500017253,0
109,500017633,0
110,500017732,3
111,500017777,2
112,500018710,3
113,500019283,0
114,500019305,3
115,500020076,2
116,500020205,0
117,500020251,2
118,500020489,2
119,500020629,1
120,500020655,0
121,500020777,3
122,500020778,3
123,500020832,3
124,500020962,2
125,500021058,0
126,500021082,0
127,500021245,3
128,500021358,0
129,500021418,0
130,500021424,3
131,500021867,3
132,500022353,3
133,500022630,3
134,500022689,0
135,500023249,3
136,500023541,3
137,500023743,2
138,500023855,2
139,500023996,0
140,500024295,0
141,500024470,2
142,500024552,0
143,500024691,0
144,500025479,3
145,500025528,0
146,500025810,2
147,500026000,0
148,500026385,1
149,500026451,3
150,500026480,3
151,500027166,3
152,500027204,0
153,500027577,3
154,500027640,2
155,500027732,1
156,500028539,2
157,500028626,0
158,500028813,3
159,500029141,3
160,500029632,0
161,500029932,2
162,500029943,2
163,500030169,2
164,500030207,0
165,500030289,2
166,500030352,0
167,500030641,0
168,500030817,3
169,500031038,0
170,500031540,0
171,500032590,3
172,500032720,0
173,500032752,0
174,500032856,2
175,500032928,0
176,500033221,3
177,500033250,0
178,500033542,0
179,500034364,0
180,500034454,3
181,500035466,3
182,500035751,0
183,500036023,2
184,500036329,0
185,500036495,0
186,500036669,0
187,500036729,3
188,500036812,0
189,500037121,3
190,500037334,0
191,500037576,0
192,500038168,3
193,500038248,3
194,500038341,2
195,500038518,2
196,500038595,2
197,500038628,0
198,500038823,2
199,500038839,3
200,500039365,0
201,500039486,3
202,500039498,0
203,500039890,0
204,500039947,3
205,500039953,0
206,500039983,0
207,500040143,2
208,500040333,2
209,500040388,2
210,500041086,0
211,500041325,3
212,500042455,2
213,500042621,3
214,500042956,0
215,500043165,0
216,500043348,0
217,500043513,2
218,500043631,3
219,500044148,0
220,500044322,0
221,500045258,3
222,500045274,0
223,500045287,3
224,500045336,3
225,500045455,3
226,500045958,1
227,500046985,3
228,500047259,2
229,500047439,1
230,500047720,2
231,500048123,0
232,500048145,0
233,500048255,0
234,500048263,0
235,500048420,0
236,500048735,0
237,500048805,0
238,500048923,0
239,500049087,0
240,500050629,0
241,500052596,3
242,500054129,2
243,500054575,2
244,500054689,2
245,500054744,2
246,500056015,0
247,500056690,2
248,500056842,0
249,500057051,2
250,500057147,3
251,500057375,2
252,500057734,3
253,500057751,3
254,500058131,0
255,500058196,1
256,500058273,0
257,500059004,0
258,500059202,0
259,500059348,3
260,500060292,3
261,500060349,0
262,500060843,3
263,500060967,0
264,500061571,0
265,500061731,1
266,500061976,2
267,500062013,1
268,500062485,2
269,500062719,0
270,500062726,3
271,500063467,3
272,500063557,3
273,500063629,0
274,500063669,3
275,500063703,0
276,500064087,0
277,500065978,3
278,500066201,2
279,500067313,3
280,500067319,3
281,500067426,3
282,500067449,3
283,500067900,2
284,500068697,3
285,500068722,0
286,500069651,3
287,500069953,0
288,500070119,2
289,500070138,0
290,500071637,2
291,500071804,0
292,500072290,3
293,500072658,3
294,500072781,3
295,500073052,3
296,500073141,0
297,500073793,0
298,500073950,0
299,500073955,0
300,500074139,3
301,500074210,0
302,500074831,0
303,500075448,3
304,500075683,3
305,500075897,0
306,500076281,0
307,500076757,2
308,500076939,0
309,500077580,3
310,500078393,0
311,500079205,3
312,500079430,3
313,500079710,2
314,500080098,0
315,500080787,3
316,500081028,3
317,500081372,3
318,500082227,3
319,500082417,3
320,500083888,2
321,500084135,2
322,500086007,0
323,500087283,0
324,500087926,0
325,500087991,0
326,500089016,0
327,500089942,3
328,500090078,2
329,500090839,2
330,500091885,3
331,500092141,3
332,500092268,3
333,500092595,3
334,500092768,3
335,500092777,3
336,500093017,0
337,500093375,0
338,500094369,3
339,500094473,2
340,500094553,0
341,500094785,3
342,500094952,0
343,500094978,3
344,500095002,3
345,500095209,3
346,500095381,3
347,500096129,3
348,500096217,2
349,500096366,0
350,500097058,2
351,500097087,0
352,500098502,0
353,500098935,2
354,500099417,3
355,500099470,2
356,500099506,0
357,500099734,0
358,500100502,0
359,500100511,2
360,500101080,0
361,500101560,0
362,500101928,0
363,500102106,2
364,500102422,2
365,500102470,3
366,500102641,0
367,500102663,3
368,500102766,0
369,500102792,3
370,500102802,3
371,500102819,3
372,500102914,0
373,500103577,2
374,500103626,3
375,500103720,0
376,500104284,2
