,Variable1,Variable2,Correlation
12931,modelos_dos_personas_conteo_hogares_300m,LISTA_30_34_MUJERES_300m,0.8807235067297426
9454,h_15_17_conteo_personas_300m,LISTA_18_HOMBRES_300m,0.8806959686280305
12123,m_30_49_conteo_personas_300m,LISTA_50_54_MUJERES_300m,0.8806487572598768
17439,LISTA_45_49_MUJERES_300m,estudiantes_conteo_personas_300m,0.8806248756425591
12715,modelos_una_persona_conteo_hogares_300m,PADRON_HOMBRES_300m,0.8805695245424855
12742,modelos_una_persona_conteo_hogares_300m,LISTA_HOMBRES_300m,0.8803903191198555
11506,m_15_17_conteo_personas_300m,LISTA_40_44_HOMBRES_300m,0.8803622260918963
16000,LISTA_30_34_HOMBRES_300m,LISTA_55_59_HOMBRES_300m,0.8803473725688808
28506,flo_finde_cmas_300m,flo_sem_45a64_300m,0.8802633520270208
11686,m_18_24_conteo_personas_300m,m_25_29_conteo_personas_300m,0.8802460525523568
10078,h_30_49_conteo_personas_300m,LISTA_40_44_HOMBRES_300m,0.8801932907525709
9669,h_18_24_conteo_personas_300m,LISTA_35_39_MUJERES_300m,0.8800801208933594
15587,LISTA_25_29_HOMBRES_300m,LISTA_40_44_MUJERES_300m,0.8800331066332271
16827,LISTA_40_44_HOMBRES_300m,estudiantes_conteo_personas_300m,0.8799705956028131
9848,h_25_29_conteo_personas_300m,m_15_17_conteo_personas_300m,0.8798474850321772
28294,flo_finde_c_300m,flo_finde_dmas_300m,0.8798005146023508
31162,autos_promedio,autos_hora_0,0.8797866159331169
27061,flo_sem_cmen_300m,flo_sem_d_300m,0.879772100404325
16419,LISTA_35_39_HOMBRES_300m,estudiantes_conteo_personas_300m,0.879696774014996
9285,h_12_14_conteo_personas_300m,pnea_conteo_personas_300m,0.879293990455214
12122,m_30_49_conteo_personas_300m,LISTA_50_54_HOMBRES_300m,0.8792562303547401
28709,flo_finde_cmen_300m,flo_sem_30a44_300m,0.8790635616083065
10279,h_50_59_conteo_personas_300m,LISTA_30_34_MUJERES_300m,0.8788819117714628
13128,modelos_tres_mas_conteo_hogares_300m,LISTA_19_HOMBRES_300m,0.8787579290745899
9261,h_12_14_conteo_personas_300m,LISTA_35_39_MUJERES_300m,0.8784801941806724
13133,modelos_tres_mas_conteo_hogares_300m,LISTA_25_29_MUJERES_300m,0.8784651386050881
16205,LISTA_30_34_MUJERES_300m,LISTA_55_59_MUJERES_300m,0.8783875354251984
18658,LISTA_60_64_MUJERES_300m,LISTA_HOMBRES_300m,0.8782821662272283
13333,modelos_hog_fam_conteo_hogares_300m,LISTA_19_MUJERES_300m,0.8782142318096416
20731,pensionados_conteo_personas_300m,POBTOT_300m,0.878129318869341
11303,m_12_14_conteo_personas_300m,LISTA_40_44_MUJERES_300m,0.8780948525543204
11931,m_25_29_conteo_personas_300m,estudiantes_conteo_personas_300m,0.877909818989727
17238,LISTA_45_49_HOMBRES_300m,asalariados_conteo_personas_300m,0.8778353133308312
10049,h_30_49_conteo_personas_300m,m_3_5_conteo_personas_300m,0.8777613810753931
13345,modelos_hog_fam_conteo_hogares_300m,LISTA_45_49_MUJERES_300m,0.8777422211582598
13759,PADRON_HOMBRES_300m,LISTA_60_64_MUJERES_300m,0.8777413128189535
26260,flo_sem_tot_300m,flo_sem_15a29_300m,0.8776736177809108
31182,autos_promedio,autos_hora_20,0.8774803257766263
17018,LISTA_40_44_MUJERES_300m,LISTA_50_54_HOMBRES_300m,0.8774648691436667
12106,m_30_49_conteo_personas_300m,LISTA_18_HOMBRES_300m,0.8773286011258778
8633,h_0_2_conteo_personas_300m,modelos_hog_fam_conteo_hogares_300m,0.877303761422304
11505,m_15_17_conteo_personas_300m,LISTA_35_39_MUJERES_300m,0.8772763149310252
8821,h_3_5_conteo_personas_300m,h_30_49_conteo_personas_300m,0.8771052091495825
12934,modelos_dos_personas_conteo_hogares_300m,LISTA_40_44_HOMBRES_300m,0.8770011556922837
9465,h_15_17_conteo_personas_300m,LISTA_35_39_MUJERES_300m,0.8769667799668376
13132,modelos_tres_mas_conteo_hogares_300m,LISTA_25_29_HOMBRES_300m,0.8768956179869413
11325,m_12_14_conteo_personas_300m,pnea_conteo_personas_300m,0.876687129377694
17240,LISTA_45_49_HOMBRES_300m,pea_conteo_personas_300m,0.8762809046143384
15790,LISTA_25_29_MUJERES_300m,LISTA_40_44_HOMBRES_300m,0.8762693340181722
11915,m_25_29_conteo_personas_300m,LISTA_40_44_MUJERES_300m,0.8761623219664104
12937,modelos_dos_personas_conteo_hogares_300m,LISTA_45_49_MUJERES_300m,0.8761322748468734
10673,m_0_2_conteo_personas_300m,modelos_hog_fam_conteo_hogares_300m,0.8761202339847056
17234,LISTA_45_49_HOMBRES_300m,ocupados_conteo_personas_300m,0.8761043370438545
11277,m_12_14_conteo_personas_300m,m_18_24_conteo_personas_300m,0.8760152024215704
16609,LISTA_35_39_MUJERES_300m,LISTA_45_49_MUJERES_300m,0.8759611152454114
31163,autos_promedio,autos_hora_1,0.8758311250911289
31981,autos_hora_2,autos_hora_3,0.8758160396693002
9644,h_18_24_conteo_personas_300m,m_15_17_conteo_personas_300m,0.8757249965065489
15586,LISTA_25_29_HOMBRES_300m,LISTA_40_44_HOMBRES_300m,0.8755475102617486
11097,m_6_11_conteo_personas_300m,LISTA_35_39_MUJERES_300m,0.8753519627856758
9057,h_6_11_conteo_personas_300m,LISTA_35_39_MUJERES_300m,0.8750876277275953
14978,LISTA_19_MUJERES_300m,LISTA_50_54_HOMBRES_300m,0.8750187933853206
