,CustomerId,KMEANS_AGG,KMEANS_AGG_PCA,KMEANS_AGG_MCA,KMEANS_AGG_UMAP
1808,510672189,1,3,3,3
1809,510672565,1,3,1,3
1810,510672747,0,1,1,4
1811,510672923,3,0,3,3
1812,510672996,1,3,1,3
1813,510673113,1,3,2,0
1814,510673460,1,3,0,0
1815,510674798,1,3,3,0
1816,510675656,3,0,1,1
1817,510675956,1,3,3,3
1818,510676164,1,3,0,3
1819,510676235,1,3,1,3
1820,510676726,1,3,1,3
1821,510676808,3,0,1,1
1822,510677050,1,3,0,0
1823,510677772,1,3,3,3
1824,510678935,1,3,3,3
1825,510679226,1,3,3,3
1826,510682896,3,0,1,1
1827,510683788,1,3,2,0
1828,510683809,1,3,1,3
1829,510683986,1,3,0,3
1830,510685302,1,3,3,3
1831,510685472,1,3,2,0
1832,510686090,1,3,3,3
1833,510686408,1,3,0,0
1834,510688576,1,3,4,0
1835,510688653,1,3,0,0
1836,510690040,3,0,1,1
1837,510690475,1,3,1,3
1838,510690532,1,3,3,3
1839,510691807,1,3,2,0
1840,510693017,1,3,3,3
1841,510693808,1,3,3,3
1842,510693893,1,3,1,3
1843,510694234,3,0,1,1
1844,510695015,1,3,0,0
1845,510695093,1,3,3,3
1846,510695143,1,3,2,0
1847,510695872,1,3,0,0
1848,510695890,1,3,3,3
1849,510696046,1,3,3,0
1850,510697618,1,3,1,3
1851,510697794,1,3,0,0
1852,510698074,1,3,1,3
1853,510699251,1,3,3,3
1854,510699253,1,3,0,0
1855,510699715,1,3,1,3
1856,510700200,1,3,1,3
1857,510700291,1,3,2,0
1858,510700761,1,3,3,3
1859,510701077,1,3,3,0
1860,510701787,1,3,0,0
1861,510701971,3,0,1,1
1862,510702126,3,0,1,1
1863,510702910,1,3,3,0
1864,510703084,1,3,3,3
1865,510704625,3,0,1,1
1866,510704722,1,3,0,0
1867,510705168,3,0,1,1
1868,510712292,1,3,3,3
1869,510712298,1,3,2,0
1870,510712736,1,3,0,0
1871,510712800,1,3,1,0
1872,510714045,1,3,3,3
1873,510723778,1,3,3,3
1874,510724051,1,3,3,3
1875,510724107,1,3,0,0
1876,510724248,1,3,1,3
1877,510725567,1,3,1,3
1878,510727719,1,3,0,0
1879,510728334,1,3,3,0
1880,510731754,1,3,3,3
1881,510732285,1,3,0,0
1882,510732292,1,3,4,0
1883,510732381,1,3,1,0
1884,510732386,1,3,3,3
1885,510732478,1,3,1,0
1886,510736255,1,3,3,3
1887,510737779,1,3,0,0
1888,510741127,1,3,1,0
1889,510741945,1,3,2,0
1890,510742605,1,3,1,3
1891,510744019,1,3,1,0
1892,510745164,1,3,3,0
1893,510745379,1,3,0,0
1894,510745771,1,3,0,0
1895,510746667,1,3,3,0
1896,510746899,1,3,0,0
1897,510747533,1,3,4,0
1898,510747857,1,3,3,0
1899,510747898,1,3,3,3
1900,510748388,1,3,0,0
1901,510749833,1,3,1,0
1902,510750161,1,3,0,0
1903,510752202,1,3,0,0
1904,510752748,1,3,3,0
1905,510752971,1,3,0,0
1906,510753471,1,3,3,0
1907,510753576,1,3,1,0
1908,510753848,1,3,3,0
1909,510754668,1,3,3,0
1910,510754822,1,3,3,0
1911,510757292,1,3,3,3
1912,510757921,1,3,3,3
1913,510758166,1,3,0,0
1914,510758529,1,3,0,0
1915,510758682,1,3,3,0
1916,510759165,1,3,1,3
1917,510759630,1,3,3,0
1918,510760478,1,3,3,0
1919,510760749,1,3,1,3
1920,510761335,1,3,2,0
1921,510763123,1,3,0,0
1922,510763141,1,3,0,0
1923,510763168,1,3,0,0
